"30 mins","29144.8796,29292.464","-","BANDA STREET ","05.00 PM","$1.20","08.30 AM","B0052","$0.60","30 mins","30 mins","C","11","Car","$1.20"
"30 mins","29144.8796,29292.464","-","BANDA STREET ","10.00 PM","$0.60","05.00 PM","B0052","$0.60","30 mins","30 mins","C","11","Car","$0.60"
"30 mins","29925.9043,32165.4233","-","BUFFALO ROAD SERVICE ROAD","10.30 PM","$0.60","08.30 AM","B0062","$0.60","30 mins","30 mins","C","18","Car","$0.60"
"30 mins","20005.2768,36613.7528","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.","BUKIT BATOK NATURE PARK OFF STREET","07.00 AM","$0.60","07.00 AM","B0063","$0.60","30 mins","30 mins","B","106","Car","$0.60"
"30 mins","20005.2768,36613.7528","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BUKIT BATOK NATURE PARK OFF STREET","07.00 AM","$0.10","07.00 AM","B0063","$0.10","30 mins","30 mins","B","6","Motorcycle","$0.10"
"30 mins","33816.3298,35275.5294","Reserved for Season Ticket Holders from 10.00 pm to 8.30 am daily.","BURN ROAD ","05.00 PM","$0.60","08.30 AM","B0067","$0.00","30 mins","0 mins","C","15","Car","$0.60"
"30 mins","39865.753,33639.4456","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","BEDOK SOUTH ROAD ","07.00 PM","$1.20","07.00 AM","B0069","$1.20","30 mins","30 mins","C","9","Heavy Vehicle","$1.20"
"30 mins","29675.0173,29299.2997","-","BOON TAT STREET ","05.00 PM","$1.20","08.30 AM","B0073","$0.60","30 mins","30 mins","C","19","Car","$1.20"
"","29607.998,29339.2595","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","29675.0173,29299.2997","-","BOON TAT STREET ","10.00 PM","$0.60","05.00 PM","B0073","$0.60","30 mins","30 mins","C","19","Car","$0.60"
"","29607.998,29339.2595","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Day","29675.0173,29299.2997","-","BOON TAT STREET ","10.00 PM","$0.65","08.30 AM","B0073","$0.65","Day","Day","C","10","Motorcycle","$0.65"
"","29607.998,29339.2595","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","17253.836,36759.8287","Parking charge between 10.30pm & 7am is capped at $5.","BUKIT BATOK ROAD / JURONG ROAD OFF STREET","07.00 AM","$0.60","07.00 AM","B0081","$0.60","30 mins","30 mins","C","30","Car","$0.60"
"30 mins","17253.836,36759.8287","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","BUKIT BATOK ROAD / JURONG ROAD OFF STREET","07.00 PM","$1.20","07.00 AM","B0081","$1.20","30 mins","30 mins","C","531","Heavy Vehicle","$1.20"
"30 mins","30721.3689,36276.4205","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","BRADDELL ROAD HEAVY VEHICLE PARK","07.00 PM","$1.20","07.00 AM","B0082","$1.20","30 mins","30 mins","C","82","Heavy Vehicle","$1.20"
"30 mins","31119.0601,31505.2799","-","BEACH ROAD ","05.00 PM","$0.60","08.30 AM","B0084","$0.60","30 mins","30 mins","C","15","Car","$0.60"
"","30997.8902,31434.827","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","31119.0601,31505.2799","-","BEACH ROAD ","10.00 PM","$0.60","05.00 PM","B0084","$0.60","30 mins","30 mins","C","15","Car","$0.60"
"","30997.8902,31434.827","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","19998.2967,36928.7283","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","BUKIT BATOK EAST AVENUE 2 HV PARK","07.00 PM","$1.20","07.00 AM","B0086","$1.20","30 mins","30 mins","C","212","Heavy Vehicle","$1.20"
"30 mins","31011.1577,31517.0537","Per min charging. Parking charge between 10.30pm & 7am is capped at $5","BAGHDAD STREET OFF STREET","07.00 AM","$0.60","07.00 AM","B0087","$0.60","30 mins","30 mins","B","25","Car","$0.60"
"30 mins","31011.1577,31517.0537","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BAGHDAD STREET OFF STREET","07.00 AM","$0.10","07.00 AM","B0087","$0.10","30 mins","30 mins","B","8","Motorcycle","$0.10"
"30 mins","41565.8225,33682.3249","Per min charging. Parking charge between 10.30pm & 7am is capped at $5","BEDOK ROAD FOOD CENTRE OFF STREET","07.00 AM","$0.60","07.00 AM","B0088","$0.60","30 mins","30 mins","B","105","Car","$0.60"
"30 mins","41565.8225,33682.3249","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BEDOK ROAD FOOD CENTRE OFF STREET","07.00 AM","$0.10","07.00 AM","B0088","$0.10","30 mins","30 mins","B","16","Motorcycle","$0.10"
"30 mins","10873.7719,31633.5084","-","BENOI ROAD ","05.00 PM","$0.60","08.30 AM","B0090","$0.00","30 mins","0 mins","C","43","Car","$0.60"
"Day","30323.8867,32332.9637","-","BABOO LANE ","05.00 PM","$0.65","08.30 AM","B0092","$0.00","Day","0 mins","C","6","Motorcycle","$0.65"
"30 mins","29159.7899,28445.4108","-","BERNAM STREET ","05.00 PM","$1.20","08.30 AM","B0094","$0.60","30 mins","30 mins","C","9","Car","$1.20"
"30 mins","29159.7899,28445.4108","-","BERNAM STREET ","10.00 PM","$0.60","05.00 PM","B0094","$0.60","30 mins","30 mins","C","9","Car","$0.60"
"30 mins","21717.7944,35943.5488","Per min charging. Parking charge between 10.30pm & 7am is capped at $5","BUKIT TIMAH LINK OFF STREET","07.00 AM","$0.60","07.00 AM","B0096","$0.60","30 mins","30 mins","B","29","Car","$0.60"
"30 mins","21717.7944,35943.5488","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BUKIT TIMAH LINK OFF STREET","07.00 AM","$0.10","07.00 AM","B0096","$0.10","30 mins","30 mins","B","8","Motorcycle","$0.10"
"60 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","06.00 PM","$4.00","07.00 AM","B0098","$0.00","0 mins","0 mins","B","251","Car","$0.00"
"60 mins","30607.5873,29118.3252","Per Minute Charging","BAYFRONT AVENUE OFF STREET","07.00 AM","$1.60","06.00 PM","B0098","$0.00","0 mins","0 mins","B","251","Car","$0.00"
